ts(s)	uout	yout	wP	wI	wD	e
          0.136      -0.027498        0.19696       0.099995       0.099909        0.10002       0.014939
          0.137      -0.026457        0.20003       0.099995       0.099908        0.10002       0.013405
          0.138      -0.025798        0.20434       0.099995       0.099908        0.10002       0.010624
          0.139      -0.025571        0.20959       0.099995       0.099907        0.10002      0.0069149
           0.14      -0.025778        0.21535       0.099995       0.099907        0.10002      0.0026836
          0.141      -0.026379        0.22119       0.099995       0.099907        0.10002     -0.0016232
          0.142      -0.027294        0.22667       0.099995       0.099907        0.10002     -0.0055709
          0.143      -0.028421        0.23142       0.099995       0.099907        0.10002     -0.0087874
          0.144      -0.029642        0.23516       0.099995       0.099906        0.10002      -0.011004
          0.145      -0.030842        0.23776       0.099995       0.099905        0.10002      -0.012076
          0.146      -0.031916        0.23921       0.099995       0.099904        0.10002      -0.011992
          0.147      -0.032781         0.2396       0.099995       0.099904        0.10002      -0.010852
          0.148       -0.03338        0.23913       0.099995       0.099903        0.10002     -0.0088535
          0.149      -0.033684        0.23805       0.099995       0.099903        0.10002     -0.0062507
           0.15      -0.033693        0.23666       0.099995       0.099903        0.10002     -0.0033305
          0.151      -0.033433        0.23524       0.099995       0.099903        0.10002    -0.00038129
          0.152      -0.032952        0.23405       0.099995       0.099903        0.10002      0.0023315
          0.153      -0.032314        0.23332       0.099995       0.099903        0.10002      0.0045852
          0.154      -0.031593        0.23322       0.099995       0.099902        0.10002      0.0062152
          0.155      -0.030862        0.23383       0.099995       0.099902        0.10002       0.007125
          0.156      -0.030191        0.23519       0.099995       0.099902        0.10002      0.0072909
          0.157      -0.029638        0.23724       0.099995       0.099901        0.10002      0.0067598
          0.158      -0.029245        0.23988       0.099995       0.099901        0.10002      0.0056417
          0.159      -0.029033        0.24295       0.099995       0.099901        0.10002      0.0040951
           0.16      -0.029005        0.24626       0.099995       0.099901        0.10002      0.0023086
          0.161      -0.029145        0.24961       0.099995       0.099901        0.10002     0.00047889
          0.162      -0.029421        0.25282       0.099995       0.099901        0.10002     -0.0012105
          0.163      -0.029792        0.25573       0.099995       0.099901        0.10002     -0.0026078
          0.164      -0.030212        0.25825       0.099995       0.099901        0.10002     -0.0036061
          0.165      -0.030636        0.26031       0.099995       0.099901        0.10002     -0.0041499
          0.166      -0.031022        0.26191       0.099995       0.099901        0.10002     -0.0042351
          0.167      -0.031337         0.2631       0.099995       0.099901        0.10002     -0.0039031
          0.168      -0.031558        0.26394       0.099995       0.099901        0.10002     -0.0032305
          0.169      -0.031674        0.26454       0.099995       0.099901        0.10002      -0.002317
           0.17      -0.031684        0.26502       0.099995       0.099901        0.10002     -0.0012733
          0.171      -0.031596        0.26546       0.099995       0.099901        0.10002    -0.00020838
          0.172      -0.031427        0.26599       0.099995       0.099901        0.10002     0.00077987
          0.173      -0.031198        0.26667       0.099995         0.0999        0.10002      0.0016125
          0.174      -0.030934        0.26756       0.099995         0.0999        0.10002      0.0022347
          0.175      -0.030658        0.26869       0.099995         0.0999        0.10002      0.0026176
          0.176      -0.030392        0.27006       0.099995         0.0999        0.10002      0.0027584
          0.177      -0.030155        0.27165       0.099995         0.0999        0.10002      0.0026777
          0.178      -0.029958        0.27342       0.099995         0.0999        0.10002      0.0024144
          0.179      -0.029809        0.27533       0.099995         0.0999        0.10002      0.0020202
           0.18      -0.029708         0.2773       0.099995         0.0999        0.10002      0.0015525
          0.181      -0.029651        0.27929       0.099995         0.0999        0.10002      0.0010687
          0.182      -0.029631        0.28125       0.099995         0.0999        0.10002     0.00061968
          0.183      -0.029636        0.28313       0.099995         0.0999        0.10002      0.0002462
          0.184      -0.029655         0.2849       0.099995         0.0999        0.10002    -2.411e-005
          0.185      -0.029677        0.28656       0.099995         0.0999        0.10002    -0.00017774
          0.186       -0.02969         0.2881       0.099995         0.0999        0.10002    -0.00021437
          0.187      -0.029687        0.28954       0.099995         0.0999        0.10002    -0.00014499
          0.188      -0.029662        0.29088       0.099995         0.0999        0.10002    1.0878e-005
          0.189      -0.029611        0.29217       0.099995         0.0999        0.10002     0.00022843
           0.19      -0.029534        0.29341       0.099995         0.0999        0.10002     0.00048092
          0.191      -0.029433        0.29465       0.099995         0.0999        0.10002     0.00074235
          0.192       -0.02931        0.29591       0.099995         0.0999        0.10002     0.00099015
          0.193      -0.029171        0.29719       0.099995         0.0999        0.10002      0.0012065
          0.194      -0.029021        0.29851       0.099995         0.0999        0.10002      0.0013798
          0.195      -0.028863        0.29989       0.099995         0.0999        0.10002      0.0015039
          0.196      -0.028702        0.30131       0.099995         0.0999        0.10002      0.0015788
          0.197      -0.028543        0.30277       0.099995         0.0999        0.10002       0.001609
          0.198      -0.028387        0.30428       0.099995         0.0999        0.10002      0.0016025
          0.199      -0.028236         0.3058       0.099995         0.0999        0.10002      0.0015695
            0.2      -0.028091        0.30734       0.099995         0.0999        0.10002      0.0015208
          0.201       -0.02795        0.30889       0.099995         0.0999        0.10002      0.0014671
          0.202      -0.027813        0.31043       0.099995         0.0999        0.10002      0.0014175
          0.203      -0.027678        0.31196       0.099995         0.0999        0.10002      0.0013789
          0.204      -0.027543        0.31348       0.099995         0.0999        0.10002      0.0013562
          0.205      -0.027407        0.31497       0.099995         0.0999        0.10002      0.0013517
          0.206      -0.027267        0.31645       0.099995         0.0999        0.10002      0.0013656
          0.207      -0.027123         0.3179       0.099995         0.0999        0.10002      0.0013962
          0.208      -0.026973        0.31935       0.099995         0.0999        0.10002      0.0014407
          0.209      -0.026817        0.32078       0.099995         0.0999        0.10002      0.0014953
           0.21      -0.026655         0.3222       0.099995         0.0999        0.10002      0.0015562
          0.211      -0.026486        0.32362       0.099995         0.0999        0.10002      0.0016196
          0.212      -0.026312        0.32505       0.099995         0.0999        0.10002      0.0016823
          0.213      -0.026132        0.32647       0.099995         0.0999        0.10002      0.0017417
          0.214      -0.025948         0.3279       0.099995         0.0999        0.10002      0.0017962
          0.215      -0.025759        0.32933       0.099995         0.0999        0.10002      0.0018449
          0.216      -0.025567        0.33077       0.099995         0.0999        0.10002      0.0018877
          0.217      -0.025371        0.33221       0.099995         0.0999        0.10002       0.001925
          0.218      -0.025173        0.33366       0.099995         0.0999        0.10002      0.0019577
          0.219      -0.024972        0.33511       0.099995         0.0999        0.10002      0.0019869
           0.22      -0.024768        0.33656       0.099995         0.0999        0.10002      0.0020138
          0.221      -0.024562        0.33801       0.099995         0.0999        0.10002      0.0020396
          0.222      -0.024353        0.33946       0.099995         0.0999        0.10002      0.0020653
          0.223      -0.024141        0.34091       0.099995         0.0999        0.10002      0.0020917
          0.224      -0.023926        0.34236       0.099995         0.0999        0.10002      0.0021194
          0.225      -0.023709         0.3438       0.099995         0.0999        0.10002      0.0021485
          0.226      -0.023488        0.34524       0.099995         0.0999        0.10002      0.0021793
          0.227      -0.023263        0.34668       0.099995         0.0999        0.10002      0.0022116
          0.228      -0.023035        0.34812       0.099995         0.0999        0.10002      0.0022452
          0.229      -0.022804        0.34955       0.099995         0.0999        0.10002      0.0022799
           0.23      -0.022569        0.35099       0.099995         0.0999        0.10002      0.0023153
          0.231      -0.022331        0.35242       0.099995         0.0999        0.10002       0.002351
          0.232      -0.022088        0.35385       0.099995         0.0999        0.10002      0.0023869
          0.233      -0.021843        0.35528       0.099995         0.0999        0.10002      0.0024226
          0.234      -0.021594        0.35671       0.099995         0.0999        0.10002      0.0024581
          0.235      -0.021341        0.35814       0.099995         0.0999        0.10002      0.0024932
          0.236      -0.021085        0.35957       0.099995       0.099899        0.10002      0.0025278
          0.237      -0.020826          0.361       0.099995       0.099899        0.10002      0.0025621
          0.238      -0.020563        0.36243       0.099995       0.099899        0.10002       0.002596
